,year,file,var,russian,english
1,2003,FC,PER,Период разработки,development period
2,2003,FC,TER,Шифр территории,cipher territory
3,2003,FC,MEST,Тип населенного пункта,Type of settlement
4,2003,FC,BUD,Номер бюджета,number budget
5,2003,FC,CHLICO,Число лиц в домохозяйстве,Number of persons in the household
6,2003,FC,CHISL,Группировка по числу наличных лиц в домохозяйстве (5 групп),Grouped according to the number of persons per household cash (5 groups)
7,2003,FC,CHDET,Фактическое число детей до 16 лет,The actual number of children under 16 years
8,2003,FC,CHISD,Группировка по числу детей до 16 лет в домохозяйстве (5 групп),Grouping by the number of children under 16 in the household (5 groups)
9,2003,FC,RASSQ,Расход на конечное потребление,Final consumption expenditure
10,2003,FC,DOXODSN,Денежный доход,cash income
11,2003,FC,RASRESS,Располагаемые ресурсы,disposable resources
12,2003,FC,DECILR,Дециль по среднедушевым располагаемым ресурсам,Deciles of per capita disposable resources
13,2003,FC,POTRAS,Потребительские расходы,consumer spending
14,2003,FC,PROD,Расходы на покупку продуктов питания,Expenditure on food
15,2003,FC,PITRES,Расходы на питание вне дома,Spending on food away from home
16,2003,FC,ALK,Расходы на покупку алкогольных напитков,Expenditures for the purchase of alcoholic beverages
17,2003,FC,NEPROD,Расходы на покупку непродовольственных товаро,The cost of purchasing non-food products
18,2003,FC,USLUG,Расходы на оплату услуг,'Fees
19,2003,FC,NALOG,"Налоги, сборы, платежи","Taxes, fees, charges"
20,2003,FC,DRRAS,Другие расходы,other costs
21,2003,FC,DENRAS,Денежные расходы,cash expenditures
22,2003,FC,FAKT,Прирост финансовых активов,Increase in financial assets
23,2003,FC,NATDOX,Натуральный доход,natural income
24,2003,FC,KVZV,Коэффициент взвешивания (общий),Weighting factor (total)
25,2003,FQ,PER,Период разработки,development period
26,2003,FQ,TER,Шифр территории,cipher territory
27,2003,FQ,MEST,Тип населенного пункта,Type of settlement
28,2003,FQ,BUD,Номер бюджета,number budget
29,2003,FQ,AP1,Расходы на покупку хлебобулочных изделий и крупы,The cost of buying baked goods and cereals
30,2003,FQ,AP2,Расходы на покупку мяса и мясопродуктов,The cost of buying meat and meat products
31,2003,FQ,AP3,Расходы на покупку рыбы и морепродуктов,The cost of buying fish and seafood
32,2003,FQ,AP4,"Расходы на покупку молочных изделий, сыров","Expenditures for the purchase of dairy products, cheese"
33,2003,FQ,AP5,Расходы на покупку яиц,The cost of buying eggs
34,2003,FQ,AP6,Расходы на покупку масла и жиров,The cost of buying oil and fats
35,2003,FQ,AP7,Расходы на покупку фруктов,The cost of buying fruit
36,2003,FQ,AP8,Расходы на покупку овощей,The cost of buying vegetables
37,2003,FQ,AP9,Расходы на покупку картофеля,The cost of purchasing potatoes
38,2003,FQ,AP10,Расходы на покупку сахара и кондитерских изделий,Expenditures for the purchase of sugar and confectionery products
39,2003,FQ,AP11,Расходы на покупку других продуктов питания,Expenditures for the purchase of other foods
40,2003,FQ,AP12,Расходы на покупку безалкогольных напитков,Expenditures for the purchase of soft drinks
41,2003,FQ,AP13,Стоимость натуральных поступлений хлебобулочных изделий и крупы,The cost of natural receipts of bakery products and cereals
42,2003,FQ,AP14,Стоимость натуральных поступлений мяса и мясопродуктов,The cost of natural receipts of meat and meat products
43,2003,FQ,AP15,Стоимость натуральных поступлений рыбы и морепродуктов,The cost of natural receipts of fish and seafood
44,2003,FQ,AP16,"Стоимость натуральных поступлений молочных изделий, сыров","The cost of natural receipts dairy products, cheese"
45,2003,FQ,AP17,Стоимость натуральных поступлений яиц,The cost of natural receipts eggs
46,2003,FQ,AP18,Стоимость натуральных поступлений масла и жиров,The cost of natural oils and fats proceeds
47,2003,FQ,AP19,Стоимость натуральных поступлений фруктов,The cost of natural receipts fruit
48,2003,FQ,AP20,Стоимость натуральных поступлений овощей,The cost of natural receipts vegetables
49,2003,FQ,AP21,Стоимость натуральных поступлений картофеля,The cost of natural receipts potatoes
50,2003,FQ,AP22,Стоимость натуральных поступлений сахара и кондитерских изделий,The cost of natural receipts sugar and confectionery products
51,2003,FQ,AP23,Расходы на покупку табачных изделий,The cost of purchasing tobacco products
52,2003,FQ,AP24,Расходы на покупку одежды и обуви,Expenditures for the purchase of clothing and footwear
53,2003,FQ,AP25,"Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива","Costs for housing services, water, electricity, gas and other fuels"
54,2003,FQ,AP26,"Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом","Expenditures for the purchase of household items, household appliances and daily care of the house"
55,2003,FQ,AP27,Расходы на здравоохранение,Health expenditures
56,2003,FQ,AP28,Расходы на транспорт,Freight costs
57,2003,FQ,AP29,Расходы на связь,Communication Costs
58,2003,FQ,AP30,Расходы на организацию отдыха и культурные мероприятия,Spending on recreation and cultural activities
59,2003,FQ,AP31,Расходы на образование,Expenditure on education
60,2003,FQ,AP32,Расходы на гостиничные услуги,Expenses for hotel services
61,2003,FQ,AP33,Расходы на другие товары и услуги,Spending on other goods and services
62,2003,FL,PER,Период разработки,development period
63,2003,FL,TER,Шифр территории,cipher territory
64,2003,FL,MEST,Тип населенного пункта,Type of settlement
65,2003,FL,BUD,Номер бюджета,number budget
66,2003,FL,LICO,Код члена домохозяйства (лица),Code household member (s)
67,2003,FL,POL,Пол,Paul
68,2003,FL,R3V4,Число исполнившихся лет,The number of complete years
69,2003,FL,R1V11,Наличие работы,Having a job
70,2003,FL,RABN,Число рабочих недель,The number of working weeks
71,2003,FL,ISKN,Число недель отсутствия работы и поиска ее,The number of weeks of unemployment and finding it
72,2003,FL,OTDN,Число недель отсутствия работы и отказа от ее поиска,The number of weeks of unemployment and its refusal to search
73,2003,FL,R1V16,Статус в занятости,Status in employment
74,2003,FL,R1V17,Категория неработавшего,Category of non-performing
75,2003,FY,PER,Период разработки,development period
76,2003,FY,TER,Шифр территории,cipher territory
77,2003,FY,MEST,Тип населенного пункта,Type of settlement
78,2003,FY,BUD,Номер бюджета,number budget
79,2003,FY,LICO,Код члена домохозяйства (лица),Code household member (s)
80,2003,FY,AP34,Наличие права на получение пенсии по старости и за выслугу лет,Entitlement to old-age pension and seniority
81,2003,FY,AP35,Наличие права на получение пенсии по инвалидности,Entitlement to a disability pension
82,2003,FY,AP36,Наличие права на получение пенсии по случаю потери кормильца,Having the right to receive a pension survivor
83,2003,FY,AP37,Наличие права на получение социальной пенсии,Having the right to receive social pensions
84,2003,FY,AP38,"Наличие права на получение ежемесячного пособия по уходу за ребенком до 1,5 лет",Having the right to receive a monthly allowance for child care up to 1.5 years
85,2003,FY,AP39,Наличие права на получение ежемесячного пособия на ребенка в возрасте до 16 лет,Having the right to receive a monthly allowance for a child under the age of 16
86,2003,FY,AP40,Наличие права на получение пособия по безработице,Entitlement to unemployment benefits
87,2003,FY,AP41,Наличие права на получение других пособий,Eligibility for other benefits
88,2003,FY,AP42,Наличие права на получение стипендии,Eligibility for scholarships
89,2003,FN,PER,Период разработки,development period
90,2003,FN,TER,Шифр территории,cipher territory
91,2003,FN,MEST,Тип населенного пункта,Type of settlement
92,2003,FN,BUD,Номер бюджета,number budget
93,2003,FN,R2V1,Код главы домохозяйства,Code of head of household
94,2003,FN,R2V7,Вид деятельности главы домохозяйства по основному месту работы,Type of activity of the household head in the main job
95,2003,FN,R2V8,Занятие главы домохозяйства по основному месту работы,Occupation of head of household on the main job
96,2003,FN,R2V9,Основной источник средств к существованию главы домохозяйства,The main source of livelihood of the household head
97,2003,FN,R2V10,Код интервала денежного дохода домохозяйства,Code interval money income households
98,2004,FC,PER,Период разработки,development period
99,2004,FC,TER,Шифр территории,cipher territory
100,2004,FC,MEST,Тип населенного пункта,Type of settlement
101,2004,FC,BUD,Номер бюджета,number budget
102,2004,FC,CHLICO,Число лиц в домохозяйстве,Number of persons in the household
103,2004,FC,CHISL,Группировка по числу наличных лиц в домохозяйстве (5 групп),Grouped according to the number of persons per household cash (5 groups)
104,2004,FC,CHDET,Фактическое число детей до 16 лет,The actual number of children under 16 years
105,2004,FC,CHISD,Группировка по числу детей до 16 лет в домохозяйстве (5 групп),Grouping by the number of children under 16 in the household (5 groups)
106,2004,FC,RASSQ,Расход на конечное потребление,Final consumption expenditure
107,2004,FC,DOXODSN,Денежный доход,cash income
108,2004,FC,RASRESS,Располагаемые ресурсы,disposable resources
109,2004,FC,DECILR,Дециль по среднедушевым располагаемым ресурсам,Deciles of per capita disposable resources
110,2004,FC,POTRAS,Потребительские расходы,consumer spending
111,2004,FC,PROD,Расходы на покупку продуктов питания,Expenditure on food
112,2004,FC,PITRES,Расходы на питание вне дома,Spending on food away from home
113,2004,FC,ALK,Расходы на покупку алкогольных напитков,Expenditures for the purchase of alcoholic beverages
114,2004,FC,NEPROD,Расходы на покупку непродовольственных товаро,The cost of purchasing non-food products
115,2004,FC,USLUG,Расходы на оплату услуг,'Fees
116,2004,FC,NALOG,"Налоги, сборы, платежи","Taxes, fees, charges"
117,2004,FC,DRRAS,Другие расходы,other costs
118,2004,FC,DENRAS,Денежные расходы,cash expenditures
119,2004,FC,FAKT,Прирост финансовых активов,Increase in financial assets
120,2004,FC,NATDOX,Натуральный доход,natural income
121,2004,FC,KVZV,Коэффициент взвешивания (общий),Weighting factor (total)
122,2004,FQ,PER,Период разработки,development period
123,2004,FQ,TER,Шифр территории,cipher territory
124,2004,FQ,MEST,Тип населенного пункта,Type of settlement
125,2004,FQ,BUD,Номер бюджета,number budget
126,2004,FQ,AP1,Расходы на покупку хлебобулочных изделий и крупы,The cost of buying baked goods and cereals
127,2004,FQ,AP2,Расходы на покупку мяса и мясопродуктов,The cost of buying meat and meat products
128,2004,FQ,AP3,Расходы на покупку рыбы и морепродуктов,The cost of buying fish and seafood
129,2004,FQ,AP4,"Расходы на покупку молочных изделий, сыров","Expenditures for the purchase of dairy products, cheese"
130,2004,FQ,AP5,Расходы на покупку яиц,The cost of buying eggs
131,2004,FQ,AP6,Расходы на покупку масла и жиров,The cost of buying oil and fats
132,2004,FQ,AP7,Расходы на покупку фруктов,The cost of buying fruit
133,2004,FQ,AP8,Расходы на покупку овощей,The cost of buying vegetables
134,2004,FQ,AP9,Расходы на покупку картофеля,The cost of purchasing potatoes
135,2004,FQ,AP10,Расходы на покупку сахара и кондитерских изделий,Expenditures for the purchase of sugar and confectionery products
136,2004,FQ,AP11,Расходы на покупку других продуктов питания,Expenditures for the purchase of other foods
137,2004,FQ,AP12,Расходы на покупку безалкогольных напитков,Expenditures for the purchase of soft drinks
138,2004,FQ,AP13,Стоимость натуральных поступлений хлебобулочных изделий и крупы,The cost of natural receipts of bakery products and cereals
139,2004,FQ,AP14,Стоимость натуральных поступлений мяса и мясопродуктов,The cost of natural receipts of meat and meat products
140,2004,FQ,AP15,Стоимость натуральных поступлений рыбы и морепродуктов,The cost of natural receipts of fish and seafood
141,2004,FQ,AP16,"Стоимость натуральных поступлений молочных изделий, сыров","The cost of natural receipts dairy products, cheese"
142,2004,FQ,AP17,Стоимость натуральных поступлений яиц,The cost of natural receipts eggs
143,2004,FQ,AP18,Стоимость натуральных поступлений масла и жиров,The cost of natural oils and fats proceeds
144,2004,FQ,AP19,Стоимость натуральных поступлений фруктов,The cost of natural receipts fruit
145,2004,FQ,AP20,Стоимость натуральных поступлений овощей,The cost of natural receipts vegetables
146,2004,FQ,AP21,Стоимость натуральных поступлений картофеля,The cost of natural receipts potatoes
147,2004,FQ,AP22,Стоимость натуральных поступлений сахара и кондитерских изделий,The cost of natural receipts sugar and confectionery products
148,2004,FQ,AP23,Расходы на покупку табачных изделий,The cost of purchasing tobacco products
149,2004,FQ,AP24,Расходы на покупку одежды и обуви,Expenditures for the purchase of clothing and footwear
150,2004,FQ,AP25,"Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива","Costs for housing services, water, electricity, gas and other fuels"
151,2004,FQ,AP26,"Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом","Expenditures for the purchase of household items, household appliances and daily care of the house"
152,2004,FQ,AP27,Расходы на здравоохранение,Health expenditures
153,2004,FQ,AP28,Расходы на транспорт,Freight costs
154,2004,FQ,AP29,Расходы на связь,Communication Costs
155,2004,FQ,AP30,Расходы на организацию отдыха и культурные мероприятия,Spending on recreation and cultural activities
156,2004,FQ,AP31,Расходы на образование,Expenditure on education
157,2004,FQ,AP32,Расходы на гостиничные услуги,Expenses for hotel services
158,2004,FQ,AP33,Расходы на другие товары и услуги,Spending on other goods and services
159,2004,FL,PER,Период разработки,development period
160,2004,FL,TER,Шифр территории,cipher territory
161,2004,FL,MEST,Тип населенного пункта,Type of settlement
162,2004,FL,BUD,Номер бюджета,number budget
163,2004,FL,LICO,Код члена домохозяйства (лица),Code household member (s)
