"","varcode","nro","wave","russian","english"
"1","predid_h",1,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variable 20 Round"
"2","pid_h",2,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variable 20 Round"
"3","oid_h",3,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variable 19 Round"
"4","nid_h",4,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА","Identification variables 18th-round"
"5","mid_h",5,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА","Identification variable 17 Round"
"6","lid_h",6,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА","Identification variable 16 Round"
"7","kid_h",7,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variable 15 Round"
"8","jid_h",8,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variable 14 Round"
"9","iid_h",9,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"10","hid_h",10,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables of the 12th round"
"11","gid_h",11,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"12","fid_h",12,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"13","eid_h",13,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"14","did_h",14,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"15","cid_h",15,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"16","bid_h",16,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables 6th round"
"17","aid_h",17,"h20","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"18","p_origsm",18,"h20","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? - В 20-Й ВОЛНЕ","ADDRESS representative sample? - In the 20 th wave"
"19","p_hhwgt",19,"h20","ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДОМОХОЗЯЙСТВА В 20-Й ВОЛНЕ","POSTSTRATIFIKATSIONNY WEIGHT HOUSEHOLD 20TH WAVE"
"20","region",20,"h20","РЕГИОН","REGION"
"21","psu",21,"h20","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА","PRIMARY UNIT SELECTION"
"22","ssu",22,"h20","ВТОРИЧНАЯ ЕДИНИЦА ОТБОРА","Secondary sampling units"
"23","status",23,"h20","ТИП НАСЕЛЕННОГО ПУНКТА","Type of settlement"
"24","popul",24,"h20","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"25","site",25,"h20","НОМЕР НАСЕЛЕННОГО ПУНКТА","NUMBER settlements"
"26","pa2",26,"h20","НОМЕР СЕМЬИ","FAMILY ROOM"
"27","pa3",27,"h20","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?","AT LEAST one family member had participated in the study?"
"28","p_round",28,"h20","НОМЕР СЕМЬИ; ОТ КОТОРОЙ ДАННАЯ СЕМЬЯ ОТДЕЛИЛАСЬ В 20-М РАУНДЕ","FAMILY ROOM; FROM WHICH THIS FAMILY departments in the 20th round"
"29","pa4.1",29,"h20","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО","Date of interview; NUMBER"
"30","pa4.2",30,"h20","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ","Date of interview; MONTH"
"31","pa5.1",31,"h20","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ","The interviews lasted; HOURS"
"32","pa5.2",32,"h20","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ","The interviews lasted; MINUTES"
"33","pa8",33,"h20","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА","NUMBER family members; Which answers the question FAMILY QUESTIONNAIRE"
"34","p1.o",34,"h20","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people; including you; in your family; household?"
"35","p1.n",35,"h20","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people; including you; in your family; household?"
"36","p_nfm",36,"h20","Количество членов семьи","Number of family members"
"37","pb1.1",37,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"38","pidind1",38,"h20","индивидуальный номер 1-го члена","individual number of the 1st member"
"39","pb1.2.1",39,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"40","pb1.2.23",40,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"41","pb1.3",41,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"42","pb1.4",42,"h20","Какого пола этот человек?","What sex is this person?"
"43","pb1.5",43,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"44","pb2.1",44,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"45","pidind2",45,"h20","Индивидуальный номер 2-го члена","Individual number of the 2nd member"
"46","pb2.2.1",46,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"47","pb2.2.23",47,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"48","pb2.3",48,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"49","pb2.4",49,"h20","Какого пола этот человек?","What sex is this person?"
"50","pb2.5",50,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"51","pb2.9.1",51,"h20","Кем 2-ой член семьи приходится 1-му члену семьи?","Whom the second member of the family has to 1st family member?"
"52","pb3.1",52,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"53","pidind3",53,"h20","индивидуальный номер 3-го члена","individual number of the 3rd member"
"54","pb3.2.1",54,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"55","pb3.2.23",55,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"56","pb3.3",56,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"57","pb3.4",57,"h20","Какого пола этот человек?","What sex is this person?"
"58","pb3.5",58,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"59","pb3.9.1",59,"h20","Кем 3-ий член семьи приходится 1-му члену семьи?","Who the third member of the family has to 1st family member?"
"60","pb3.9.2",60,"h20","Кем 3-ий член семьи приходится 2-му члену семьи?","Who the third member of the family has to 2nd family member?"
"61","pb4.1",61,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"62","pidind4",62,"h20","индивидуальный номер 4-го члена","individual number of the 4th member"
"63","pb4.2.1",63,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"64","pb4.2.23",64,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"65","pb4.3",65,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"66","pb4.4",66,"h20","Какого пола этот человек?","What sex is this person?"
"67","pb4.5",67,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"68","pb4.9.1",68,"h20","Кем 4-ый член семьи приходится 1-му члену семьи?","Who the fourth member of the family has to 1st family member?"
"69","pb4.9.2",69,"h20","Кем 4-ый член семьи приходится 2-му члену семьи?","Who the fourth member of the family has to 2nd family member?"
"70","pb4.9.3",70,"h20","Кем 4-ый член семьи приходится 3-му члену семьи?","Who the fourth member of the family has to 3rd family member?"
"71","pb5.1",71,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"72","pidind5",72,"h20","индивидуальный номер 5-го члена","individual number of the 5th member"
"73","pb5.2.1",73,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"74","pb5.2.23",74,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"75","домохозяйства?",75,"h20","",""
"76","pb5.3",76,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"77","pb5.4",77,"h20","Какого пола этот человек?","What sex is this person?"
"78","pb5.5",78,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"79","pb5.9.1",79,"h20","Кем 5-ый член семьи приходится 1-му члену семьи?","Who fifth member of the family has to 1st family member?"
"80","pb5.9.2",80,"h20","Кем 5-ый член семьи приходится 2-му члену семьи?","Who fifth member of the family has to 2nd family member?"
"81","pb5.9.3",81,"h20","Кем 5-ый член семьи приходится 3-му члену семьи?","Who fifth member of the family has to 3rd family member?"
"82","pb5.9.4",82,"h20","Кем 5-ый член семьи приходится 4-му члену семьи?","Who fifth family member has the 4th member of the family?"
"83","pb6.1",83,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"84","pidind6",84,"h20","индивидуальный номер 6-го члена","individual number of the 6th member"
"85","pb6.2.1",85,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"86","pb6.2.23",86,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"87","pb6.3",87,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"88","pb6.4",88,"h20","Какого пола этот человек?","What sex is this person?"
"89","pb6.5",89,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"90","pb6.9.1",90,"h20","Кем 6-ой член семьи приходится 1-му члену семьи?","Who second member of the family has to 1st family member?"
"91","pb6.9.2",91,"h20","Кем 6-ой член семьи приходится 2-му члену семьи?","Who second member of the family has to 2nd family member?"
"92","pb6.9.3",92,"h20","Кем 6-ой член семьи приходится 3-му члену семьи?","Who second member of the family has to 3rd family member?"
"93","pb6.9.4",93,"h20","Кем 6-ой член семьи приходится 4-му члену семьи?","Who second family member has the 4th member of the family?"
"94","pb6.9.5",94,"h20","Кем 6-ой член семьи приходится 5-му члену семьи?","Who second family member has the 5th member of the family?"
"95","pb7.1",95,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"96","pidind7",96,"h20","индивидуальный номер 7-го члена","individual number of the 7th member"
"97","pb7.2.1",97,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"98","pb7.2.23",98,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"99","pb7.3",99,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"100","pb7.4",100,"h20","Какого пола этот человек?","What sex is this person?"
"101","pb7.5",101,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"102","pb7.9.1",102,"h20","Кем 7-ой член семьи приходится 1-му члену семьи?","Who seventh member of the family has to 1st family member?"
"103","pb7.9.2",103,"h20","Кем 7-ой член семьи приходится 2-му члену семьи?","Who seventh member of the family has to 2nd family member?"
"104","pb7.9.3",104,"h20","Кем 7-ой член семьи приходится 3-му члену семьи?","Who seventh member of the family has to 3rd family member?"
"105","pb7.9.4",105,"h20","Кем 7-ой член семьи приходится 4-му члену семьи?","Who seventh family member has the 4th member of the family?"
"106","pb7.9.5",106,"h20","Кем 7-ой член семьи приходится 5-му члену семьи?","Who seventh family member has the 5th member of the family?"
"107","pb7.9.6",107,"h20","Кем 7-ой член семьи приходится 6-му члену семьи?","Who seventh family member has the 6th member of the family?"
"108","pb8.1",108,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"109","pidind8",109,"h20","индивидуальный номер 8-го члена","individual number of the 8th member"
"110","pb8.2.1",110,"h20","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"111","pb8.2.23",111,"h20","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"112","pb8.3",112,"h20","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
"113","pb8.4",113,"h20","Какого пола этот человек?","What sex is this person?"
"114","pb8.5",114,"h20","В каком году (он/она) родились?","In what year did (he / she) is born?"
"115","pb8.9.1",115,"h20","Кем 8-ой член семьи приходится 1-му члену семьи?","Who eighth member of the family has to 1st family member?"
"116","pb8.9.2",116,"h20","Кем 8-ой член семьи приходится 2-му члену семьи?","Who eighth member of the family has to 2nd family member?"
"117","pb8.9.3",117,"h20","Кем 8-ой член семьи приходится 3-му члену семьи?","Who eighth member of the family has to 3rd family member?"
"118","pb8.9.4",118,"h20","Кем 8-ой член семьи приходится 4-му члену семьи?","Who eighth family member has the 4th member of the family?"
"119","pb8.9.5",119,"h20","Кем 8-ой член семьи приходится 5-му члену семьи?","Who eighth family member has the 5th member of the family?"
"120","pb8.9.6",120,"h20","Кем 8-ой член семьи приходится 6-му члену семьи?","Who eighth family member has the 6th member of the family?"
"121","pb8.9.7",121,"h20","Кем 8-ой член семьи приходится 7-му члену семьи?","Who eighth family member has the 7th member of the family?"
"122","pb9.1",122,"h20","Наличие индивидуального вопросника","The presence of individual questionnaire"
"123","pidind9",123,"h20","индивидуальный номер 9-го члена","individual number of the 9th member"
