"","X","nro","varcode","wave","russian","english"
"1",1,19,"aid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"2",2,18,"bid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables Round 6"
"3",3,17,"cid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"4",4,16,"did_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"5",5,15,"eid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"6",6,14,"fid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"7",7,13,"gid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"8",8,12,"hid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables 12th round"
"9",9,11,"iid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"10",10,10,"jid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variables 14 Round"
"11",11,9,"kid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variables 15 Round"
"12",12,8,"lid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА","Identification variables 16 Round"
"13",13,7,"mid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА","Identification variables 17 Round"
"14",14,6,"nid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА","Identification variables 18th-round"
"15",15,5,"oid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variables 19 Round"
"16",16,4,"pid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variables 20 Round"
"17",17,25,"popul","h22","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"18",18,23,"psu","h22","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА","PRIMARY selection units"
"19",19,3,"qid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variables 21 Round"
"20",20,36,"r1.n","h22","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people including yourself in your household the household?"
"21",21,35,"r1.o","h22","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people including yourself in your household the household?"
"22",22,27,"ra2","h22","НОМЕР СЕМЬИ","FAMILY ROOM"
"23",23,28,"ra3","h22","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?","AT LEAST one family member had participated in the study?"
"24",24,30,"ra4.1","h22","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО","DATE OF INTERVIEW NUMBER"
"25",25,31,"ra4.2","h22","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ","Date of interview month"
"26",26,32,"ra5.1","h22","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ","The interviews lasted CLOCK"
"27",27,33,"ra5.2","h22","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ","The interviews lasted minutes"
"28",28,34,"ra8","h22","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА","NUMBER family members who answer questions FAMILY QUESTIONNAIRE"
"29",29,138,"rb10.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"30",30,140,"rb10.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"31",31,141,"rb102.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"32",32,142,"rb10.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"33",33,143,"rb10.4","h22","Какого пола этот человек?","What sex is this person?"
"34",34,144,"rb10.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"35",35,145,"rb10.9.1","h22","Кем 10-ый член семьи приходится 1-му члену семьи?","Who the 10th member of the family has to 1st family member?"
"36",36,146,"rb10.9.2","h22","Кем 10-ый член семьи приходится 2-му члену семьи?","Who the 10th member of the family has to 2nd family member?"
"37",37,147,"rb10.9.3","h22","Кем 10-ый член семьи приходится 3-му члену семьи?","Who the 10th member of the family has to 3rd family member?"
"38",38,148,"rb10.9.4","h22","Кем 10-ый член семьи приходится 4-му члену семьи?","Who the 10th member of the family has to the 4th member of the family?"
"39",39,149,"rb10.9.5","h22","Кем 10-ый член семьи приходится 5-му члену семьи?","Who the 10th member of the family has to 5th family member?"
"40",40,150,"rb10.9.6","h22","Кем 10-ый член семьи приходится 6-му члену семьи?","Who the 10th member of the family has to the 6th member of the family?"
"41",41,151,"rb10.9.7","h22","Кем 10-ый член семьи приходится 7-му члену семьи?","Who the 10th member of the family has to the 7th member of the family?"
"42",42,152,"rb10.9.8","h22","Кем 10-ый член семьи приходится 8-му члену семьи?","Who the 10th member of the family has to the 8th member of the family?"
"43",43,153,"rb10.9.9","h22","Кем 10-ый член семьи приходится 9-му члену семьи?","Who the 10th member of the family has to 9th family member?"
"44",44,38,"rb1.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"45",45,154,"rb11.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"46",46,156,"rb11.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"47",47,157,"rb112.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
