nro,wave,varcode,russian,english
1,i20,idind,Единый идентификационный номер индивида для волн 5 и последующих,Unique identification number for the individual waves 5 and subsequent
2,i20,PREDID_I,НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - СПЛОШНАЯ НУМЕРАЦИЯ,NUMBER individual in the 20-th wave - numbered consecutively
3,i20,PID_I,НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 20-th wave - IDENTIFICATION
4,i20,predid_h,НОМЕР СЕМЬИ В 20-Й ВОЛНЕ - СПЛОШНАЯ НУМЕРАЦИЯ,FAMILY ROOM In the 20 th wave - numbered consecutively
5,i20,pid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА,Identification variable 20 Round
6,i20,oid_i,НОМЕР ИНДИВИДА В 19-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 19-second wave - IDENTIFICATION
7,i20,oid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА,Identification variable 19 Round
8,i20,nid_i,НОМЕР ИНДИВИДА В 18-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 18-second wave - IDENTIFICATION
9,i20,nid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА,Identification variables 18th-round
10,i20,mid_i,НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 17-second wave - IDENTIFICATION
11,i20,mid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА,Identification variable 17 Round
12,i20,lid_i,НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 16-th wave - IDENTIFICATION
13,i20,lid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА,Identification variable 16 Round
14,i20,kid_i,НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 15-th wave - IDENTIFICATION
15,i20,kid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА,Identification variable 15 Round
16,i20,jid_i,НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 14-th wave - IDENTIFICATION
17,i20,jid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА,Identification variable 14 Round
18,i20,iid_i,НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ,NUMBER individual in the 13-th wave - IDENTIFICATION
19,i20,iid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА,Identification variables 13th ROUND
