"","nro","varcode","wave","russian","english"
"1",38,"aid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"2",37,"aid_i","i22","НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 5th wave - IDENTIFICATION"
"3",36,"bid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables 6th round"
"4",35,"bid_i","i22","НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 6-th wave - IDENTIFICATION"
"5",34,"cid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"6",33,"cid_i","i22","НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 7-th wave - IDENTIFICATION"
"7",32,"did_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"8",31,"did_i","i22","НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 8-th wave - IDENTIFICATION"
"9",30,"eid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"10",29,"eid_i","i22","НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 9 th wave - IDENTIFICATION"
"11",28,"fid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"12",27,"fid_i","i22","НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 10-th wave - IDENTIFICATION"
"13",26,"gid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"14",25,"gid_i","i22","НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 11-th wave - IDENTIFICATION"
"15",24,"hid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables of the 12th round"
"16",23,"hid_i","i22","НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 12-th wave - IDENTIFICATION"
"17",1,"idind","i22","ЕДИНЫЙ ИДЕНТИФИКАЦИОННЫЙ НОМЕР ИНДИВИДА ДЛЯ ВОЛН 5 И ПОСЛЕДУЮЩИХ","Unique identification number for a wave 5 INDIVIDUAL AND FOLLOW"
"18",22,"iid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"19",21,"iid_i","i22","НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 13-th wave - IDENTIFICATION"
"20",20,"jid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variable 14 Round"
"21",19,"jid_i","i22","НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 14-th wave - IDENTIFICATION"
"22",18,"kid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variable 15 Round"
"23",17,"kid_i","i22","НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 15-th wave - IDENTIFICATION"
"24",16,"lid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА","Identification variable 16 Round"
"25",15,"lid_i","i22","НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 16-th wave - IDENTIFICATION"
"26",14,"mid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА","Identification variable 17 Round"
"27",13,"mid_i","i22","НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 17-second wave - IDENTIFICATION"
"28",12,"nid_h","i22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА","Identification variables 18th-round"
