varcode,russian,english
rredid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА ,Identification variables 22 Round
rid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА ,Identification variables 22 Round
qid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА ,Identification variables 21 Round
pid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА ,Identification variables 20 Round
oid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА ,Identification variables 19 Round
nid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА ,Identification variables 18th-round
mid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА ,Identification variables 17 Round
lid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА ,Identification variables 16 Round
kid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА ,Identification variables 15 Round
jid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА ,Identification variables 14 Round
iid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА ,Identification variables 13th ROUND
hid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА ,Identification variables 12th round
gid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА ,Identification variables Round 11
fid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА ,Identification variables Round 10
eid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА ,Identification variables 9th round
did_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА ,Identification variables Round 8
cid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА ,Identification variables Round 7
bid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА ,Identification variables Round 6
aid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА ,Identification variables Round 5
r_origsm,АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? - В 22-Й ВОЛНЕ ,ADDRESS representative sample? - In the 22-th wave
r_hhwgt,ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДОМОХОЗЯЙСТВА В 22-Й ВОЛНЕ ,POSTSTRATIFIKATSIONNY WEIGHT HOUSEHOLD 22-th wave
region,КОД РЕГИОНА ,AREA CODE
psu,ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА ,PRIMARY selection units
status,ТИП НАСЕЛЕННОГО ПУНКТА ,Type of settlement
popul,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ,POPULATION
site,НОМЕР НАСЕЛЕННОГО ПУНКТА ,NUMBER settlements
ra2,НОМЕР СЕМЬИ ,FAMILY ROOM
ra3,ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ? ,AT LEAST one family member had participated in the study?
r_round,НОМЕР СЕМЬИ ОТ КОТОРОЙ ДАННАЯ СЕМЬЯ ОТДЕЛИЛАСЬ В 22-м РАУНДЕ ,FAMILY ROOM WHICH THIS FAMILY department in the 22 th round
ra4.1,ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ ЧИСЛО ,DATE OF INTERVIEW NUMBER
ra4.2,ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ МЕСЯЦ ,Date of interview month
ra5.1,ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ ЧАСОВ ,The interviews lasted CLOCK
ra5.2,ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ МИНУТ ,The interviews lasted minutes
ra8,НОМЕР ЧЛЕНА СЕМЬИ КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА ,NUMBER family members who answer questions FAMILY QUESTIONNAIRE
r1.o,Сколько человек включая Вас в Вашей семье домохозяйстве? ,How many people including yourself in your household the household?
r1.n,Сколько человек включая Вас в Вашей семье домохозяйстве? ,How many people including yourself in your household the household?
r_nfm,Количество членов семьи ,Number of family members
rb1.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind1,индивидуальный номер 1-го члена ,individual number of the 1st member
rb1.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb1.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb1.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb1.4,Какого пола этот человек? ,What sex is this person?
rb1.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb2.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind2,индивидуальный номер 2-го члена ,individual number of the 2nd member
rb2.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb2.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb2.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb2.4,Какого пола этот человек? ,What sex is this person?
rb2.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb2.9.1,Кем 2-ой член семьи приходится 1-му члену семьи? ,Who 2nd family member falls 1st family member?
rb3.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind3,индивидуальный номер 3-го члена ,individual number of the 3rd member
rb3.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb3.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb3.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb3.4,Какого пола этот человек? ,What sex is this person?
rb3.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb3.9.1,Кем 3-ий член семьи приходится 1-му члену семьи? ,Who the third member of the family has to 1st family member?
rb3.9.2,Кем 3-ий член семьи приходится 2-му члену семьи? ,Who the third member of the family has to 2nd family member?
rb4.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind4,индивидуальный номер 4-го члена ,individual number of the 4th member
rb4.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb4.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb4.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb4.4,Какого пола этот человек? ,What sex is this person?
rb4.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb4.9.1,Кем 4-ый член семьи приходится 1-му члену семьи? ,Who fourth member of the family has to 1st family member?
rb4.9.2,Кем 4-ый член семьи приходится 2-му члену семьи? ,Who fourth member of the family has to 2nd family member?
rb4.9.3,Кем 4-ый член семьи приходится 3-му члену семьи? ,Who fourth member of the family has to 3rd family member?
rb5.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind5,индивидуальный номер 5-го члена ,individual number of the 5th member
rb5.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb5.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb5.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb5.4,Какого пола этот человек? ,What sex is this person?
rb5.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb5.9.1,Кем 5-ый член семьи приходится 1-му члену семьи? ,Who fifth member of the family has to 1st family member?
rb5.9.2,Кем 5-ый член семьи приходится 2-му члену семьи? ,Who fifth member of the family has to 2nd family member?
rb5.9.3,Кем 5-ый член семьи приходится 3-му члену семьи? ,Who fifth member of the family has to 3rd family member?
rb5.9.4,Кем 5-ый член семьи приходится 4-му члену семьи? ,Who fifth member of the family has to the 4th member of the family?
rb6.1,Наличие индивидуального вопросника ,Availability of individual questionnaire
ridind6,индивидуальный номер 6-го члена ,individual number of the 6th member
rb6.2.1,Сейчас является членом Вашей семьи домохозяйства? ,Who is a member of your family household?
rb6.2.23,Почему (он/она) больше не является членом Вашей семьи домохозяйства? ,Why did (he / she) is no longer a member of your family household?
rb6.3,Сколько месяцев из последних 12 (он/она) жили в Вашей семье домохозяйстве? ,How many months out of the past 12 (he / she) live in your household the household?
rb6.4,Какого пола этот человек? ,What sex is this person?
rb6.5,В каком году (он/она) родились? ,In what year did (he / she) born?
rb6.9.1,Кем 6-ой член семьи приходится 1-му члену семьи? ,Who second family member falls 1st family member?
rb6.9.2,Кем 6-ой член семьи приходится 2-му члену семьи? ,Who second member of the family has to 2nd family member?
