,year,file,var,english,russian
1,2003,FC,PER,development period,Период разработки
2,2003,FC,TER,cipher territory,Шифр территории
3,2003,FC,MEST,Type of settlement,Тип населенного пункта
4,2003,FC,BUD,number budget,Номер бюджета
5,2003,FC,CHLICO,Number of persons in the household,Число лиц в домохозяйстве
6,2003,FC,CHISL,Grouped according to the number of persons per household cash (5 groups),Группировка по числу наличных лиц в домохозяйстве (5 групп)
7,2003,FC,CHDET,The actual number of children under 16 years,Фактическое число детей до 16 лет
8,2003,FC,CHISD,Grouping by the number of children under 16 in the household (5 groups),Группировка по числу детей до 16 лет в домохозяйстве (5 групп)
9,2003,FC,RASSQ,Final consumption expenditure,Расход на конечное потребление
10,2003,FC,DOXODSN,cash income,Денежный доход
11,2003,FC,RASRESS,disposable resources,Располагаемые ресурсы
12,2003,FC,DECILR,Deciles of per capita disposable resources,Дециль по среднедушевым располагаемым ресурсам
13,2003,FC,POTRAS,consumer spending,Потребительские расходы
14,2003,FC,PROD,Expenditure on food,Расходы на покупку продуктов питания
15,2003,FC,PITRES,Spending on food away from home,Расходы на питание вне дома
16,2003,FC,ALK,Expenditures for the purchase of alcoholic beverages,Расходы на покупку алкогольных напитков
17,2003,FC,NEPROD,The cost of purchasing non-food products,Расходы на покупку непродовольственных товаро
18,2003,FC,USLUG,'Fees,Расходы на оплату услуг
19,2003,FC,NALOG,"Taxes, fees, charges","Налоги, сборы, платежи"
20,2003,FC,DRRAS,other costs,Другие расходы
21,2003,FC,DENRAS,cash expenditures,Денежные расходы
22,2003,FC,FAKT,Increase in financial assets,Прирост финансовых активов
23,2003,FC,NATDOX,natural income,Натуральный доход
24,2003,FC,KVZV,Weighting factor (total),Коэффициент взвешивания (общий)
25,2003,FQ,PER,development period,Период разработки
26,2003,FQ,TER,cipher territory,Шифр территории
27,2003,FQ,MEST,Type of settlement,Тип населенного пункта
28,2003,FQ,BUD,number budget,Номер бюджета
29,2003,FQ,AP1,The cost of buying baked goods and cereals,Расходы на покупку хлебобулочных изделий и крупы
30,2003,FQ,AP2,The cost of buying meat and meat products,Расходы на покупку мяса и мясопродуктов
31,2003,FQ,AP3,The cost of buying fish and seafood,Расходы на покупку рыбы и морепродуктов
32,2003,FQ,AP4,"Expenditures for the purchase of dairy products, cheese","Расходы на покупку молочных изделий, сыров"
33,2003,FQ,AP5,The cost of buying eggs,Расходы на покупку яиц
34,2003,FQ,AP6,The cost of buying oil and fats,Расходы на покупку масла и жиров
35,2003,FQ,AP7,The cost of buying fruit,Расходы на покупку фруктов
36,2003,FQ,AP8,The cost of buying vegetables,Расходы на покупку овощей
37,2003,FQ,AP9,The cost of purchasing potatoes,Расходы на покупку картофеля
38,2003,FQ,AP10,Expenditures for the purchase of sugar and confectionery products,Расходы на покупку сахара и кондитерских изделий
39,2003,FQ,AP11,Expenditures for the purchase of other foods,Расходы на покупку других продуктов питания
40,2003,FQ,AP12,Expenditures for the purchase of soft drinks,Расходы на покупку безалкогольных напитков
41,2003,FQ,AP13,The cost of natural receipts of bakery products and cereals,Стоимость натуральных поступлений хлебобулочных изделий и крупы
42,2003,FQ,AP14,The cost of natural receipts of meat and meat products,Стоимость натуральных поступлений мяса и мясопродуктов
43,2003,FQ,AP15,The cost of natural receipts of fish and seafood,Стоимость натуральных поступлений рыбы и морепродуктов
44,2003,FQ,AP16,"The cost of natural receipts dairy products, cheese","Стоимость натуральных поступлений молочных изделий, сыров"
45,2003,FQ,AP17,The cost of natural receipts eggs,Стоимость натуральных поступлений яиц
46,2003,FQ,AP18,The cost of natural oils and fats proceeds,Стоимость натуральных поступлений масла и жиров
47,2003,FQ,AP19,The cost of natural receipts fruit,Стоимость натуральных поступлений фруктов
48,2003,FQ,AP20,The cost of natural receipts vegetables,Стоимость натуральных поступлений овощей
49,2003,FQ,AP21,The cost of natural receipts potatoes,Стоимость натуральных поступлений картофеля
50,2003,FQ,AP22,The cost of natural receipts sugar and confectionery products,Стоимость натуральных поступлений сахара и кондитерских изделий
51,2003,FQ,AP23,The cost of purchasing tobacco products,Расходы на покупку табачных изделий
52,2003,FQ,AP24,Expenditures for the purchase of clothing and footwear,Расходы на покупку одежды и обуви
53,2003,FQ,AP25,"Costs for housing services, water, electricity, gas and other fuels","Расходы на оплату жилищных услуг, воды, электроэнергии, газа и другого топлива"
54,2003,FQ,AP26,"Expenditures for the purchase of household items, household appliances and daily care of the house","Расходы на покупку предметов домашнего обихода, бытовой техники и на повседневный уход за домом"
55,2003,FQ,AP27,Health expenditures,Расходы на здравоохранение
56,2003,FQ,AP28,Freight costs,Расходы на транспорт
57,2003,FQ,AP29,Communication Costs,Расходы на связь
58,2003,FQ,AP30,Spending on recreation and cultural activities,Расходы на организацию отдыха и культурные мероприятия
59,2003,FQ,AP31,Expenditure on education,Расходы на образование
60,2003,FQ,AP32,Expenses for hotel services,Расходы на гостиничные услуги
61,2003,FQ,AP33,Spending on other goods and services,Расходы на другие товары и услуги
62,2003,FL,PER,development period,Период разработки
63,2003,FL,TER,cipher territory,Шифр территории
64,2003,FL,MEST,Type of settlement,Тип населенного пункта
65,2003,FL,BUD,number budget,Номер бюджета
66,2003,FL,LICO,Code household member (s),Код члена домохозяйства (лица)
67,2003,FL,POL,Paul,Пол
68,2003,FL,R3V4,The number of complete years,Число исполнившихся лет
69,2003,FL,R1V11,Having a job,Наличие работы
70,2003,FL,RABN,The number of working weeks,Число рабочих недель
71,2003,FL,ISKN,The number of weeks of unemployment and finding it,Число недель отсутствия работы и поиска ее
72,2003,FL,OTDN,The number of weeks of unemployment and its refusal to search,Число недель отсутствия работы и отказа от ее поиска
73,2003,FL,R1V16,Status in employment,Статус в занятости
74,2003,FL,R1V17,Category of non-performing,Категория неработавшего
75,2003,FY,PER,development period,Период разработки
76,2003,FY,TER,cipher territory,Шифр территории
77,2003,FY,MEST,Type of settlement,Тип населенного пункта
78,2003,FY,BUD,number budget,Номер бюджета
79,2003,FY,LICO,Code household member (s),Код члена домохозяйства (лица)
80,2003,FY,AP34,Entitlement to old-age pension and seniority,Наличие права на получение пенсии по старости и за выслугу лет
