"nro","varcode","russian"
1,"qredid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА"
2,"qid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА"
3,"pid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА"
4,"oid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА"
5,"nid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА"
6,"mid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА"
7,"lid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА"
8,"kid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА"
9,"jid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА"
10,"iid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА"
11,"hid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА"
12,"gid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА"
13,"fid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА"
14,"eid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА"
15,"did_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА"
16,"cid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА"
17,"bid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА"
18,"aid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА"
19,"q_origsm","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? - В 21-Й ВОЛНЕ"
20,"q_hhwgt","ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДОМОХОЗЯЙСТВА В 21-Й ВОЛНЕ"
21,"region","КОД РЕГИОНА"
22,"psu","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА"
23,"ssu","ВТОРИЧНАЯ ЕДИНИЦА ОТБОРА"
24,"status","ТИП НАСЕЛЕННОГО ПУНКТА"
25,"popul","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ"
26,"site","НОМЕР НАСЕЛЕННОГО ПУНКТА"
27,"qa2","НОМЕР СЕМЬИ"
28,"qa3","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?"
29,"q_round","НОМЕР СЕМЬИ; ОТ КОТОРОЙ ДАННАЯ СЕМЬЯ ОТДЕЛИЛАСЬ В 21-м РАУНДЕ"
30,"qa4.1","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО"
31,"qa4.2","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ"
32,"qa5.1","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ"
33,"qa5.2","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ"
34,"qa8","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА"
35,"q1.o","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?"
36,"q1.n","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?"
37,"q_nfm","Количество членов семьи"
38,"qb1.1","Наличие индивидуального вопросника"
39,"qidind1","индивидуальный номер 1-го члена"
40,"qb1.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
41,"qb1.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
42,"qb1.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
43,"qb1.4","Какого пола этот человек?"
44,"qb1.5","В каком году (он/она) родились?"
45,"qb2.1","Наличие индивидуального вопросника"
46,"qidind2","индивидуальный номер 2-го члена"
47,"qb2.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
48,"qb2.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
49,"qb2.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
50,"qb2.4","Какого пола этот человек?"
51,"qb2.5","В каком году (он/она) родились?"
52,"qb2.9.1","Кем 2-ой член семьи приходится 1-му члену семьи?"
53,"qb3.1","Наличие индивидуального вопросника"
54,"qidind3","индивидуальный номер 3-го члена"
55,"qb3.2.1","Сейчас является членом Вашей семьи; домохозяйства?"
56,"qb3.2.23","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?"
57,"qb3.3","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?"
58,"qb3.4","Какого пола этот человек?"
59,"qb3.5","В каком году (он/она) родились?"
