"","varcode","nro","wave","russian","english"
"1","qredid_h",1,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variable 21 Round"
"2","qid_h",2,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variable 21 Round"
"3","pid_h",3,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variable 20 Round"
"4","oid_h",4,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variable 19 Round"
"5","nid_h",5,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА","Identification variables 18th-round"
"6","mid_h",6,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА","Identification variable 17 Round"
"7","lid_h",7,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА","Identification variable 16 Round"
"8","kid_h",8,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variable 15 Round"
"9","jid_h",9,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variable 14 Round"
"10","iid_h",10,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"11","hid_h",11,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables of the 12th round"
"12","gid_h",12,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"13","fid_h",13,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"14","eid_h",14,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"15","did_h",15,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"16","cid_h",16,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"17","bid_h",17,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables 6th round"
"18","aid_h",18,"h21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"19","q_origsm",19,"h21","АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? - В 21-Й ВОЛНЕ","ADDRESS representative sample? - In the 21 th wave"
"20","q_hhwgt",20,"h21","ПОСТСТРАТИФИКАЦИОННЫЙ ВЕС ДОМОХОЗЯЙСТВА В 21-Й ВОЛНЕ","POSTSTRATIFIKATSIONNY WEIGHT HOUSEHOLD 21-th wave"
"21","region",21,"h21","КОД РЕГИОНА","AREA CODE"
"22","psu",22,"h21","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА","PRIMARY UNIT SELECTION"
"23","ssu",23,"h21","ВТОРИЧНАЯ ЕДИНИЦА ОТБОРА","Secondary sampling units"
"24","status",24,"h21","ТИП НАСЕЛЕННОГО ПУНКТА","Type of settlement"
"25","popul",25,"h21","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"26","site",26,"h21","НОМЕР НАСЕЛЕННОГО ПУНКТА","NUMBER settlements"
"27","qa2",27,"h21","НОМЕР СЕМЬИ","FAMILY ROOM"
"28","qa3",28,"h21","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?","AT LEAST one family member had participated in the study?"
"29","q_round",29,"h21","НОМЕР СЕМЬИ; ОТ КОТОРОЙ ДАННАЯ СЕМЬЯ ОТДЕЛИЛАСЬ В 21-м РАУНДЕ","FAMILY ROOM; FROM WHICH THIS FAMILY departments in the 21 th round"
"30","qa4.1",30,"h21","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО","Date of interview; NUMBER"
"31","qa4.2",31,"h21","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ","Date of interview; MONTH"
"32","qa5.1",32,"h21","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ","The interviews lasted; HOURS"
"33","qa5.2",33,"h21","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ","The interviews lasted; MINUTES"
"34","qa8",34,"h21","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА","NUMBER family members; Which answers the question FAMILY QUESTIONNAIRE"
"35","q1.o",35,"h21","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people; including you; in your family; household?"
"36","q1.n",36,"h21","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people; including you; in your family; household?"
"37","q_nfm",37,"h21","Количество членов семьи","Number of family members"
"38","qb1.1",38,"h21","Наличие индивидуального вопросника","The presence of individual questionnaire"
"39","qidind1",39,"h21","индивидуальный номер 1-го члена","individual number of the 1st member"
"40","qb1.2.1",40,"h21","Сейчас является членом Вашей семьи; домохозяйства?","Is now a member of your family; household?"
"41","qb1.2.23",41,"h21","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why (he / she) is no longer a member of your family; household?"
"42","qb1.3",42,"h21","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months of the last 12 (he / she) live in your household; household?"
