"","nro","varcode","wave","russian","english"
"1",19,"aid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"2",18,"bid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables Round 6"
"3",17,"cid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"4",16,"did_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"5",15,"eid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"6",14,"fid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"7",13,"gid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"8",12,"hid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables 12th round"
"9",11,"iid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"10",10,"jid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variables 14 Round"
"11",9,"kid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variables 15 Round"
"12",8,"lid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА","Identification variables 16 Round"
"13",7,"mid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА","Identification variables 17 Round"
"14",6,"nid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА","Identification variables 18th-round"
"15",5,"oid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variables 19 Round"
"16",4,"pid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variables 20 Round"
"17",25,"popul","h22","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"18",23,"psu","h22","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА","PRIMARY selection units"
"19",3,"qid_h","h22","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variables 21 Round"
"20",36,"r1.n","h22","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people including yourself in your household the household?"
"21",35,"r1.o","h22","Сколько человек; включая Вас; в Вашей семье; домохозяйстве?","How many people including yourself in your household the household?"
"22",27,"ra2","h22","НОМЕР СЕМЬИ","FAMILY ROOM"
"23",28,"ra3","h22","ХОТЯ БЫ ОДИН ЧЛЕН СЕМЬИ РАНЬШЕ УЧАСТВОВАЛ В ИССЛЕДОВАНИИ?","AT LEAST one family member had participated in the study?"
"24",30,"ra4.1","h22","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; ЧИСЛО","DATE OF INTERVIEW NUMBER"
"25",31,"ra4.2","h22","ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ; МЕСЯЦ","Date of interview month"
"26",32,"ra5.1","h22","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; ЧАСОВ","The interviews lasted CLOCK"
"27",33,"ra5.2","h22","ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ; МИНУТ","The interviews lasted minutes"
"28",34,"ra8","h22","НОМЕР ЧЛЕНА СЕМЬИ; КОТОРЫЙ ОТВЕЧАЛ НА ВОПРОСЫ СЕМЕЙНОГО ВОПРОСНИКА","NUMBER family members who answer questions FAMILY QUESTIONNAIRE"
"29",138,"rb10.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"30",140,"rb10.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"31",141,"rb102.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"32",142,"rb10.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"33",143,"rb10.4","h22","Какого пола этот человек?","What sex is this person?"
"34",144,"rb10.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"35",145,"rb10.9.1","h22","Кем 10-ый член семьи приходится 1-му члену семьи?","Who the 10th member of the family has to 1st family member?"
"36",146,"rb10.9.2","h22","Кем 10-ый член семьи приходится 2-му члену семьи?","Who the 10th member of the family has to 2nd family member?"
"37",147,"rb10.9.3","h22","Кем 10-ый член семьи приходится 3-му члену семьи?","Who the 10th member of the family has to 3rd family member?"
"38",148,"rb10.9.4","h22","Кем 10-ый член семьи приходится 4-му члену семьи?","Who the 10th member of the family has to the 4th member of the family?"
"39",149,"rb10.9.5","h22","Кем 10-ый член семьи приходится 5-му члену семьи?","Who the 10th member of the family has to 5th family member?"
"40",150,"rb10.9.6","h22","Кем 10-ый член семьи приходится 6-му члену семьи?","Who the 10th member of the family has to the 6th member of the family?"
"41",151,"rb10.9.7","h22","Кем 10-ый член семьи приходится 7-му члену семьи?","Who the 10th member of the family has to the 7th member of the family?"
"42",152,"rb10.9.8","h22","Кем 10-ый член семьи приходится 8-му члену семьи?","Who the 10th member of the family has to the 8th member of the family?"
"43",153,"rb10.9.9","h22","Кем 10-ый член семьи приходится 9-му члену семьи?","Who the 10th member of the family has to 9th family member?"
"44",38,"rb1.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"45",154,"rb11.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"46",156,"rb11.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"47",157,"rb112.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"48",158,"rb11.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"49",159,"rb11.4","h22","Какого пола этот человек?","What sex is this person?"
"50",160,"rb11.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"51",161,"rb11.9.1","h22","Кем 11-ый член семьи приходится 1-му члену семьи?","Who the 11th member of the family has to 1st family member?"
"52",170,"rb119.10","h22","Кем 11-ый член семьи приходится 10-му члену семьи?","Who the 11th member of the family has to the 10th member of the family?"
"53",162,"rb11.9.2","h22","Кем 11-ый член семьи приходится 2-му члену семьи?","Who the 11th member of the family has to 2nd family member?"
"54",163,"rb11.9.3","h22","Кем 11-ый член семьи приходится 3-му члену семьи?","Who the 11th member of the family has to 3rd family member?"
"55",164,"rb11.9.4","h22","Кем 11-ый член семьи приходится 4-му члену семьи?","Who the 11th member of the family has to the 4th member of the family?"
"56",165,"rb11.9.5","h22","Кем 11-ый член семьи приходится 5-му члену семьи?","Who the 11th member of the family has to the 5th member of the family?"
"57",166,"rb11.9.6","h22","Кем 11-ый член семьи приходится 6-му члену семьи?","Who the 11th member of the family has to the 6th member of the family?"
"58",167,"rb11.9.7","h22","Кем 11-ый член семьи приходится 7-му члену семьи?","Who the 11th member of the family has to the 7th member of the family?"
"59",168,"rb11.9.8","h22","Кем 11-ый член семьи приходится 8-му члену семьи?","Who the 11th member of the family has to the 8th member of the family?"
"60",169,"rb11.9.9","h22","Кем 11-ый член семьи приходится 9-му члену семьи?","Who the 11th member of the family has to 9th family member?"
"61",40,"rb1.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"62",171,"rb12.1","h22","Наличие индивидуального вопросника","Availability of individual questionnaire"
"63",173,"rb12.2.1","h22","Сейчас является членом Вашей семьи; домохозяйства?","Who is a member of your family household?"
"64",174,"rb122.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"65",41,"rb1.2.23","h22","Почему (он/она) больше не является членом Вашей семьи; домохозяйства?","Why did (he / she) is no longer a member of your family household?"
"66",175,"rb12.3","h22","Сколько месяцев из последних 12 (он/она) жили в Вашей семье; домохозяйстве?","How many months out of the past 12 (he / she) live in your household the household?"
"67",176,"rb12.4","h22","Какого пола этот человек?","What sex is this person?"
"68",177,"rb12.5","h22","В каком году (он/она) родились?","In what year did (he / she) born?"
"69",178,"rb12.9.1","h22","Кем 12-ый член семьи приходится 1-му члену семьи?","Who the 12th member of the family has to 1st family member?"
"70",187,"rb129.10","h22","Кем 12-ый член семьи приходится 10-му члену семьи?","Who the 12th member of the family has to the 10th member of the family?"
"71",188,"rb129.11","h22","Кем 12-ый член семьи приходится 11-му члену семьи?","Who the 12th member of the family has to the 11th member of the family?"
"72",179,"rb12.9.2","h22","Кем 12-ый член семьи приходится 2-му члену семьи?","Who the 12th member of the family has to 2nd family member?"
"73",180,"rb12.9.3","h22","Кем 12-ый член семьи приходится 3-му члену семьи?","Who the 12th member of the family has to 3rd family member?"
"74",181,"rb12.9.4","h22","Кем 12-ый член семьи приходится 4-му члену семьи?","Who the 12th member of the family has to the 4th member of the family?"
"75",182,"rb12.9.5","h22","Кем 12-ый член семьи приходится 5-му члену семьи?","Who the 12th member of the family has to the 5th member of the family?"
"76",183,"rb12.9.6","h22","Кем 12-ый член семьи приходится 6-му члену семьи?","Who the 12th member of the family has to the 6th member of the family?"
"77",184,"rb12.9.7","h22","Кем 12-ый член семьи приходится 7-му члену семьи?","Who the 12th member of the family has to the 7th member of the family?"
"78",185,"rb12.9.8","h22","Кем 12-ый член семьи приходится 8-му члену семьи?","Who the 12th member of the family has to the 8th member of the family?"
"79",186,"rb12.9.9","h22","Кем 12-ый член семьи приходится 9-му члену семьи?","Who the 12th member of the family has to 9th family member?"
