"","varcode","nro","wave","russian","english"
"1","idind",1,"i21","ЕДИНЫЙ ИДЕНТИФИКАЦИОННЫЙ НОМЕР ИНДИВИДА ДЛЯ ВОЛН 5 И ПОСЛЕДУЮЩИХ","Unique identification number for a wave 5 INDIVIDUAL AND FOLLOW"
"2","QREDID_I",2,"i21","НОМЕР ИНДИВИДА В 21-Й ВОЛНЕ - СПЛОШНАЯ НУМЕРАЦИЯ","NUMBER individual in the 21-th wave - numbered consecutively"
"3","QID_I",3,"i21","НОМЕР ИНДИВИДА В 21-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 21-th wave - IDENTIFICATION"
"4","qid_h",4,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА","Identification variable 21 Round"
"5","pid_i",5,"i21","НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 20-th wave - IDENTIFICATION"
"6","pid_h",6,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА","Identification variable 20 Round"
"7","oid_i",7,"i21","НОМЕР ИНДИВИДА В 19-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 19-second wave - IDENTIFICATION"
"8","oid_h",8,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА","Identification variable 19 Round"
"9","nid_i",9,"i21","НОМЕР ИНДИВИДА В 18-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 18-second wave - IDENTIFICATION"
"10","nid_h",10,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА","Identification variables 18th-round"
"11","mid_i",11,"i21","НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 17-second wave - IDENTIFICATION"
"12","mid_h",12,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА","Identification variable 17 Round"
"13","lid_i",13,"i21","НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 16-th wave - IDENTIFICATION"
"14","lid_h",14,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА","Identification variable 16 Round"
"15","kid_i",15,"i21","НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 15-th wave - IDENTIFICATION"
"16","kid_h",16,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА","Identification variable 15 Round"
"17","jid_i",17,"i21","НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 14-th wave - IDENTIFICATION"
"18","jid_h",18,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА","Identification variable 14 Round"
"19","iid_i",19,"i21","НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 13-th wave - IDENTIFICATION"
"20","iid_h",20,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА","Identification variables 13th ROUND"
"21","hid_i",21,"i21","НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 12-th wave - IDENTIFICATION"
"22","hid_h",22,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables of the 12th round"
"23","gid_i",23,"i21","НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 11-th wave - IDENTIFICATION"
"24","gid_h",24,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 1-го РАУНДА","Identification variables Round 1"
"25","fid_i",25,"i21","НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 10-th wave - IDENTIFICATION"
"26","fid_h",26,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"27","eid_i",27,"i21","НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 9 th wave - IDENTIFICATION"
"28","eid_h",28,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"29","did_i",29,"i21","НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 8-th wave - IDENTIFICATION"
"30","did_h",30,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"31","cid_i",31,"i21","НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 7-th wave - IDENTIFICATION"
"32","cid_h",32,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"33","bid_i",33,"i21","НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 6-th wave - IDENTIFICATION"
"34","bid_h",34,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables 6th round"
"35","aid_i",35,"i21","НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 5th wave - IDENTIFICATION"
"36","aid_h",36,"i21","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"37","q_origsm",37,"i21","АДРЕС ПЕРВОНАЧАЛЬНОЙ ВЫБОРКИ? - в 21-й волне","ADDRESS original sample? - In the 21 th wave"
"38","q_inwgt",38,"i21","SAMPLE WEIGHT OF INDIVIDUAL IN ROUND 21","SAMPLE WEIGHT OF INDIVIDUAL IN ROUND 21"
"39","region",39,"i21","Регион","region"
"40","psu",40,"i21","ПЕРВИЧНАЯ ЕДИНИЦА ОТБОРА","PRIMARY UNIT SELECTION"
"41","site",41,"i21","НОМЕР НАСЕЛЕННОГО ПУНКТА","NUMBER settlements"
"42","ssu",42,"i21","Вторичная единица отбора","The secondary sampling units"
"43","status",43,"i21","ТИП НАСЕЛЕННОГО ПУНКТА","Type of settlement"
"44","popul",44,"i21","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","POPULATION"
"45","iomover21",45,"i21","1 IF PERSON MOVED OUT OF SURVEY SAMPLE IN ROUND 21","1 IF PERSON MOVED OUT OF SURVEY SAMPLE IN ROUND 21"
"46","q_int_y",46,"i21","Год опроса","year of survey"
"47","q_born_m",47,"i21","МЕСЯЦ РОЖДЕНИЯ РЕБЕНКА - 21 ВОЛНА","MONTH Childbirth - 21 WAVE"
"48","q_adult",48,"i21","Есть взрослый вопросник 21 волны?","There are 21 waves adult questionnaire?"
"49","q_child",49,"i21","Есть детский вопросник 21 волны?","There is a children's questionnaire 21 waves?"
