"","varcode","nro","russian","english"
"1","aid_h",38,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА","Identification variables Round 5"
"2","aid_i",37,"НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 5th wave - IDENTIFICATION"
"3","bid_h",36,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА","Identification variables 6th round"
"4","bid_i",35,"НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 6-th wave - IDENTIFICATION"
"5","cid_h",34,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА","Identification variables Round 7"
"6","cid_i",33,"НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 7-th wave - IDENTIFICATION"
"7","did_h",32,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА","Identification variables Round 8"
"8","did_i",31,"НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 8-th wave - IDENTIFICATION"
"9","eid_h",30,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА","Identification variables 9th round"
"10","eid_i",29,"НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER of individuals in the 9 th wave - IDENTIFICATION"
"11","fid_h",28,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА","Identification variables Round 10"
"12","fid_i",27,"НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 10-th wave - IDENTIFICATION"
"13","gid_h",26,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА","Identification variables Round 11"
"14","gid_i",25,"НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ","NUMBER individual in the 11-th wave - IDENTIFICATION"
"15","hid_h",24,"ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА","Identification variables of the 12th round"
