,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
1,aid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА ,Identification variables Round 5, 81008 | 107020 |  13004 |  46034 |  80008 | 136014,3076,18677
2,aid_i,numeric,НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 5th wave - IDENTIFICATION,10000202 | 10000204 | 10000301 | 10000501 | 10000502 | 10000503,3076,18677
3,bid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА ,Identification variables 6th round, 770024 | 1070020 |  130004 |  460402 | 1360204 |  470904,3203,18550
4,bid_i,numeric,НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 6-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,3203,18550
5,cid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА ,Identification variables Round 7, 810008 |  770024 |  800008 | 1070020 |  130004 | 1360204,3484,18269
6,cid_i,numeric,НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 7-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,3484,18269
7,did_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА ,Identification variables Round 8, 810008 |  770024 | 1070020 |  130004 | 1360204 |  460402,3979,17774
8,did_i,numeric,НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 8-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010301,3979,17774
9,eid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА ,Identification variables 9th round,1140007 | 1070020 | 1360204 |  130004 |  770009 | 1360205,4490,17263
10,eid_i,numeric,НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 9 th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,4490,17263
11,fid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА ,Identification variables Round 10,1360204 |  770024 |  130004 |  770009 |  780009 | 1140007,5060,16693
12,fid_i,numeric,НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 10-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,5060,16693
13,gid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА ,Identification variables Round 11,1360204 |  770024 |  130004 |  770009 |  780009 | 1140007,5456,16297
14,gid_i,numeric,НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 11-th wave - IDENTIFICATION,100010103 | 100010104 | 100010105 | 100010106 | 100010202 | 100010204,5456,16297
15,hid_h,numeric,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА ,Identification variables of the 12th round, 770024 |  470904 |  130004 |  770009 |  780007 |  780009,5871,15882
