varcode,russian,english
idind,ЕДИНЫЙ ИДЕНТИФИКАЦИОННЫЙ НОМЕР ИНДИВИДА ДЛЯ ВОЛН 5 И ПОСЛЕДУЮЩИХ ,Unique identification number for a wave 5 INDIVIDUAL AND FOLLOW
RREDID_I,НОМЕР ИНДИВИДА В 22-Й ВОЛНЕ - СПЛОШНАЯ НУМЕРАЦИЯ ,NUMBER individual in the 22-th wave - numbered consecutively
RID_I,НОМЕР ИНДИВИДА В 22-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 22-th wave - IDENTIFICATION
rid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 22-го РАУНДА ,Identification variable 22 Round
QID_I,НОМЕР ИНДИВИДА В 21-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 21-th wave - IDENTIFICATION
qid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 21-го РАУНДА ,Identification variable 21 Round
pid_i,НОМЕР ИНДИВИДА В 20-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 20-th wave - IDENTIFICATION
pid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА ,Identification variable 20 Round
oid_i,НОМЕР ИНДИВИДА В 19-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 19-second wave - IDENTIFICATION
oid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА ,Identification variable 19 Round
nid_i,НОМЕР ИНДИВИДА В 18-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 18-second wave - IDENTIFICATION
nid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-го РАУНДА ,Identification variables 18th-round
mid_i,НОМЕР ИНДИВИДА В 17-ОЙ ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 17-second wave - IDENTIFICATION
mid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-го РАУНДА ,Identification variable 17 Round
lid_i,НОМЕР ИНДИВИДА В 16-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 16-th wave - IDENTIFICATION
lid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-го РАУНДА ,Identification variable 16 Round
kid_i,НОМЕР ИНДИВИДА В 15-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 15-th wave - IDENTIFICATION
kid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА ,Identification variable 15 Round
jid_i,НОМЕР ИНДИВИДА В 14-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 14-th wave - IDENTIFICATION
jid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА ,Identification variable 14 Round
iid_i,НОМЕР ИНДИВИДА В 13-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 13-th wave - IDENTIFICATION
iid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА ,Identification variables 13th ROUND
hid_i,НОМЕР ИНДИВИДА В 12-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 12-th wave - IDENTIFICATION
hid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА ,Identification variables of the 12th round
gid_i,НОМЕР ИНДИВИДА В 11-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 11-th wave - IDENTIFICATION
gid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА ,Identification variables Round 11
fid_i,НОМЕР ИНДИВИДА В 10-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER individual in the 10-th wave - IDENTIFICATION
fid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА ,Identification variables Round 10
eid_i,НОМЕР ИНДИВИДА В 9-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 9 th wave - IDENTIFICATION
eid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА ,Identification variables 9th round
did_i,НОМЕР ИНДИВИДА В 8-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 8-th wave - IDENTIFICATION
did_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА ,Identification variables Round 8
cid_i,НОМЕР ИНДИВИДА В 7-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 7-th wave - IDENTIFICATION
cid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА ,Identification variables Round 7
bid_i,НОМЕР ИНДИВИДА В 6-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 6-th wave - IDENTIFICATION
bid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА ,Identification variables 6th round
aid_i,НОМЕР ИНДИВИДА В 5-Й ВОЛНЕ - ИДЕНТИФИКАЦИОННЫЙ ,NUMBER of individuals in the 5th wave - IDENTIFICATION
aid_h,ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА ,Identification variables Round 5
r_origsm,АДРЕС РЕПРЕЗЕНТАТИВНОЙ ВЫБОРКИ? – в 22-й волне ,ADDRESS representative sample? - In the 22th wave
r_inwgt,Постстратификационный вес для данного индивида ,Poststratifikatsionny weight for a given individual
region,Регион ,region
psu,Номер региона (первичная единица отбора) ,Region number (primary sampling units)
site,НОМЕР НАСЕЛЕННОГО ПУНКТА ,NUMBER settlements
status,ТИП НАСЕЛЕННОГО ПУНКТА ,Type of settlement
popul,ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ,POPULATION
r_adult,Есть взрослый вопросник 22 волны? ,There are 22 waves adult questionnaire?
r_child,Есть детский вопросник 22 волны? ,There is a children's questionnaire 22 waves?
r_marst,СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 22 ВОЛНА ,MARITAL STATUS - 22 WAVE
r_occup,ПРОФЕССИОНАЛЬНАЯ ГРУППА - 22 ВОЛНА ,Professional groups - 22 WAVE
r_int_y,Год опроса ,year of survey
r_born_m,Месяц рождения ребенка ,Month of birth of the child
r_educ,ОБРАЗОВАНИЕ (ПОДРОБНО): старше 14 лет ,EDUCATION (details): over 14 years
r_diplom,ЗАКОНЧЕННОЕ ОБРАЗОВАНИЕ (ГРУППА) ,Completed education (GROUP)
rh3a,НОМЕР СЕМЬИ ,FAMILY ROOM
rh4,Номер члена семьи ,Number of family members
rh4.1,Респондент ранее участвовал(а) в исследовании? ,Respondent has previously taken part (a) in the study?
rh5,Пол респондента ,Sex of the respondent
rh6,Год рождения респондента 22 ВОЛНА (=rj69.9c) ,Year of birth of respondent 22 WAVE (= rj69.9c)
rh7.1,Дата проведения интервью: число ,Date of interview: the number of
rh7.2,Дата проведения интервью: месяц ,Date of interview: Month
rh8a,Интервью продолжалось: часов и минут (часов) ,Interview continued: hours and minutes (hours)
rh8b,Интервью продолжалось: часов и минут (минут) ,Interview continued: hours and minutes (minutes)
ri1,Вы родились в другом населенном пункте или в том; где живете сейчас? ,You were born in another location or in; where do you live now?
ri3,Вы родились в городе; поселке городского типа или в селе; деревне; кишлаке; ауле? * В 2013 году добавлено пояснение для интервьюера о том; что статус поселения отмечается такой; каким он был на момент рождения респондента. ,"You were born in the city; a small town or village; village; village; aul? * In 2013, the added explanation for the interviewer about; that the status of the settlement of such notes; as it was at the time of birth of the respondent."
ri3.1,Вы жили в другом населенном пункте - не в том; где Вы родились; более чем 6 месяцев подряд после того; как Вам исполнилось 14 лет; включая учебу; службу в армии и прочее? ,You have lived in another village - not that; where you were born; more than 6 consecutive months thereafter; as you are at least 14 years of age; including studies; served in the army and so on?
ri4,Кем Вы себя считаете по национальности? ,Who do you think you are by nationality?
ri7,С какого года Вы живете в данном населенном пункте? ,Since when do you live in this village?
ri8,С какого года Вы постоянно живете в Российской Федерации? ,When did you always live in the Russian Federation?
rj1,Ваше основное занятие в настоящее время? ,Your main occupation now?
rj1.1.1,Насколько Вы удовлетворены или не удовлетворены Вашей работой в целом? ,Are you satisfied or dissatisfied with your work in general?
rj1.1.2,Насколько Вы удовлетворены или не удовлетворены условиями Вашего труда? ,Are you satisfied or not satisfied with the terms of your work?
rj1.1.3,Насколько Вы удовлетворены или не удовлетворены оплатой Вашего труда? ,Are you satisfied or dissatisfied with the payment of your work?
rj1.1.4,Насколько Вы удовлетворены или не удовлетворены возможностями для Вашего профессионального роста? ,Are you satisfied or dissatisfied with opportunities for your professional growth?
rj2code,Код профессии по ISCO88 основной работы ,Code profession ISCO88 basic work
rj2cod08,Код профессии по ISCO2008 основной работы * Кодировка открытых вопросов основной работы по новой версии международного классификатора  ,Code profession ISCO2008 main job * Coding of open questions the basic work on the new version of the International Classification
